Номер проектный,living room,room 1,room 2,bath,dressing room,stairs,bath 2,dressing room 2,Этаж,Тип планировки
348,"21,1",,,"4,4",,,,,3,Ст-1/л
349,"21,0",,,"4,4",,,,,3,Ст-1/п
350,"21,1",,,"4,4",,,,,3,Ст-1/л
351,"21,1",,,"4,4",,,,,3,Ст-1/п
352,"21,1",,,"4,4",,,,,3,Ст-1/л
353,"21,0",,,"4,4",,,,,3,Ст-1/п
354,"21,1",,,"4,4",,,,,3,Ст-1/л
355,"21,1",,,"4,4",,,,,3,Ст-1/п
356,"20,5",,,"4,3",,,,,3,Ст-1/л
357,"20,6",,,"4,4",,,,,3,Ст-1/п
358,"18,8",,,"4,5","2,1",,,,3,Кф-3/п
359,"17,8",,,"4,9",,,,,3,Км/л
360,"19,2",,,"4,5","2,1",,,,3,Кф-3/л
361,"10,1","22,7",,"4,3",,,,,3,1К-4/п
362,"20,1",,,"5,9",,,,,3,Ст-МГН-2
363,"21,3",,,"4,4",,,,,3,Ст-1/п
514,"15,0","16,3",,"4,6",,,,,5,1К-2/л/в
365,"21,1",,,"4,4",,,,,3,Ст-1/п
366,"21,0",,,"4,5",,,,,3,Ст-1/л
367,"21,1",,,"4,4",,,,,3,Ст-1/п
432,"18,3","20,7",,"3,6",,,,,4,1К-3/в
369,"14,6","17,8",,"5,0",,,,,3,1К-1/л
370,"25,6",,,"4,9",,,,,3,Ст-2
632,"18,3","20,8",,"3,6",,,,,6,1К-3/в
372,"22,8",,,"4,0",,,,,3,Ст-4
373,"19,3",,,"4,7",,,,,3,Ст-5
374,"20,6",,,"4,2",,,,,3,Ст-6
301,"22,1","11,1","12,8","5,1","3,1",,,,3,2К-1
302,"20,9","9,3",,"4,9",,,,,3,1К-Е-1/п
303,"20,1","9,2",,"4,9",,,,,3,1К-Е-1/л
304,"19,7",,,"3,9",,,,,3,Ст-1/п
305,"22,2",,,"4,9",,,,,3,Ст-1/л
306,"22,3",,,"4,9",,,,,3,Ст-1/п
307,"20,3",,,"4,2",,,,,3,Ст-1/л
308,"20,5",,,"4,2",,,,,3,Ст-1/п
561,"10,1","22,7",,"4,0",,,,,5,1К-4/п/в
310,"22,8","9,7",,"4,6",,,,,3,1К-Е-2
311,"21,0",,,"4,6","2,0",,,,3,Кф-1
523,"23,3","10,3",,"4,1",,,,,5,1К-Е-1/л/в
313,"15,1","18,2",,"4,9",,,,,3,1К-1/п
314,"15,0","16,3",,"4,9",,,,,3,1К-2/л
315,"15,1","18,3",,"4,9",,,,,3,1К-1/п
316,"20,8","10,3",,"4,4",,,,,3,1К-Е-1/п
317,"20,9","10,3",,"4,4",,,,,3,1К-Е-1/л
318,"20,8",,,"7,2",,,,,3,Кф-МГН-1/п
723,"23,2","10,3",,"4,1",,,,,7,1К-Е-1/л/в
1420,"23,3","10,3",,"4,1",,,,,14,1К-Е-1/л/в
321,"21,3",,,"5,4",,,,,3,Кф-2/л
322,"23,3","10,3",,"4,4",,,,,3,1К-Е-1/п
323,"23,2","10,3",,"4,4",,,,,3,1К-Е-1/л
324,"22,1",,,"5,1",,,,,3,Кф-2/л
325,"20,9","10,3",,"4,4",,,,,3,1К-Е-1/п
326,"20,9","10,4",,"4,4",,,,,3,1К-Е-1/л
327,"15,1","16,7",,"4,4",,,,,3,1К-2/л
328,"14,8","18,8",,"4,4",,,,,3,1К-1/п
329,"21,2",,,"5,4",,,,,3,Кф-2/л
330,"15,0","17,2",,"4,4",,,,,3,1К-2/п
331,"17,1","20,7","14,4","4,8",,,,,3,2К-3
332,"18,3","20,8",,"3,9",,,,,3,1К-3
333,"20,3",,,"4,0",,,,,3,Ст-1/п
334,"21,0",,,"4,5",,,,,3,Ст-1/л
335,"21,1",,,"4,4",,,,,3,Ст-1/п
422,"23,4","10,3",,"4,0",,,,,4,1К-Е-1/п/в
337,"21,2",,,"4,4",,,,,3,Ст-1/п
338,"21,1",,,"4,4",,,,,3,Ст-1/л
622,"23,4","10,3",,"4,0",,,,,6,1К-Е-1/п/в
340,"21,4",,,"4,4",,,,,3,Ст-1/л
341,"19,8",,,"5,8",,,,,3,Ст-МГН-1
342,"10,1","22,8",,"4,4",,,,,3,1К-4/л
343,"19,2",,,"4,5","2,2",,,,3,Кф-3/п
1319,"23,3","10,3",,"4,1",,,,,13,1К-Е-1/п/в
345,"18,8",,,"4,5","2,2",,,,3,Кф-3/л
346,"20,7",,,"4,4",,,,,3,Ст-1/л
347,"20,5",,,"4,3",,,,,3,Ст-1/п
448,"21,1",,,"4,0",,,,,4,Ст-1/л/в
449,"21,1",,,"4,0",,,,,4,Ст-1/п/в
450,"21,1",,,"4,0",,,,,4,Ст-1/л/в
451,"21,1",,,"4,0",,,,,4,Ст-1/п/в
452,"21,1",,,"4,0",,,,,4,Ст-1/л/в
453,"21,0",,,"4,0",,,,,4,Ст-1/п/в
454,"21,0",,,"4,1",,,,,4,Ст-1/л/в
455,"21,1",,,"4,0",,,,,4,Ст-1/п/в
456,"20,4",,,"3,9",,,,,4,Ст-1/л/в
457,"20,7",,,"4,0",,,,,4,Ст-1/п/в
458,"18,8",,,"4,3","2,1",,,,4,Кф-3/п/в
459,"17,8",,,"4,5",,,,,4,Км/л/в
460,"19,2",,,"4,3","2,1",,,,4,Кф-3/л/в
461,"10,1","22,8",,"3,9",,,,,4,1К-4/п/в
462,"20,1",,,"5,6",,,,,4,Ст-мгн-2/в
463,"21,3",,,"4,0",,,,,4,Ст-1/п/в
464,"21,2",,,"4,0",,,,,4,Ст-1/л/в
465,"21,1",,,"4,1",,,,,4,Ст-1/п/в
466,"21,1",,,"4,0",,,,,4,Ст-1/л/в
467,"21,1",,,"4,0",,,,,4,Ст-1/п/в
468,"20,8",,,"4,0",,,,,4,Ст-1/л/в
469,"14,7","17,8",,"4,5",,,,,4,1К-1/л/в
470,"25,5",,,"4,5",,,,,4,Ст-2/в
471,"25,1",,,"4,5",,,,,4,Ст-3/в
472,"22,8",,,"3,7",,,,,4,Ст-4/в
473,"19,3",,,"4,4",,,,,4,Ст-5/в
474,"20,6",,,"3,8",,,,,4,Ст-6/в
401,"22,3","11,1","12,7","4,8","3,1",,,,4,2К-1/в
402,"21,0","9,4",,"4,4",,,,,4,1К-Е-1/п/в
403,"20,0","9,3",,"4,5",,,,,4,1К-Е-1/л/в
404,"19,6",,,"3,5",,,,,4,Ст-1/п/в
405,"22,2",,,"4,6",,,,,4,Ст-1/л/в
406,"22,1",,,"4,5",,,,,4,Ст-1/п/в
407,"20,3",,,"3,8",,,,,4,Ст-1/л/в
408,"20,4",,,"3,8",,,,,4,Ст-1/п/в
409,"21,9","15,3","15,2","6,0",,,,,4,2К-2/в
410,"22,8","9,7",,"4,3",,,,,4,1К-Е-2/в
411,"21,1",,,"4,3","2,0",,,,4,Кф-1/в
312,"22,8","9,7",,"4,6",,,,,3,1К-Е-3
413,"15,1","18,2",,"4,5",,,,,4,1К-1/п/в
414,"15,0","16,3",,"4,5",,,,,4,1К-2/л/в
415,"15,1","18,2",,"4,6",,,,,4,1К-1/п/в
416,"21,0","10,3",,"4,0",,,,,4,1К-Е-1/п/в
417,"20,9","10,3",,"4,0",,,,,4,1К-Е-1/л/в
418,"20,8",,,"6,8",,,,,4,Кф-ИГН-1/п/в
412,"22,8","9,7",,"4,2",,,,,4,1К-Е-3/в
420,"20,9","11,4",,"5,1",,,,,4,1К-МГН-Е-1/л/в
421,"21,2",,,"5,0",,,,,4,Кф-2/л/в
512,"22,9","9,7",,"4,1",,,,,5,1К-Е-3/в
423,"23,3","10,3",,"4,0",,,,,4,1К-Е-1/л/в
424,"22,1",,,"4,6",,,,,4,Кф-2/л/в
425,"20,9","10,3",,"4,0",,,,,4,1К-Е-1/п/в
426,"21,0","10,3",,"4,1",,,,,4,1К-Е-1/л/в
427,"15,0","16,7",,"4,0",,,,,4,1К-2/л/в
428,"14,9","18,8",,"4,0",,,,,4,1К-1/п/в
429,"21,3",,,"5,0",,,,,4,Кф-2/л/в
430,"15,0","17,2",,"4,0",,,,,4,1К-2/п/в
431,"17,1","20,7","14,5","4,5",,,,,4,2К-3/в
712,"22,9","9,7",,"4,3",,,,,7,1К-Е-3/в
433,"20,2",,,"3,7",,,,,4,Ст-1/п/в
434,"20,9",,,"4,0",,,,,4,Ст-1/л/в
435,"21,0",,,"4,1",,,,,4,Ст-1/п/в
436,"20,8",,,"4,0",,,,,4,Ст-1/л/в
437,"21,1",,,"4,0",,,,,4,Ст-1/п/в
438,"21,0",,,"4,0",,,,,4,Ст-1/л/в
439,"21,0",,,"4,0",,,,,4,Ст-1/п/в
440,"21,2",,,"4,0",,,,,4,Ст-1/л/в
441,"19,7",,,"5,4",,,,,4,Ст-МГН-1/в
442,"10,1","22,7",,"3,9",,,,,4,1К-4/л/в
443,"19,2",,,"4,1","2,2",,,,4,Кф-3/п/в
812,"22,9","9,6",,"4,3",,,,,8,1К-Е-3/в
445,"18,7",,,"4,2","2,2",,,,4,Кф-3/л/в
446,"20,6",,,"4,0",,,,,4,Ст-1/л/в
447,"20,5",,,"3,9",,,,,4,Ст-1/п/в
548,"21,1",,,"4,1",,,,,5,Ст-1/л/в
549,"21,0",,,"4,1",,,,,5,Ст-1/п/в
550,"21,0",,,"4,1",,,,,5,Ст-1/л/в
551,"21,1",,,"4,1",,,,,5,Ст-1/п/в
552,"21,1",,,"4,0",,,,,5,Ст-1/л/в
553,"21,2",,,"4,1",,,,,5,Ст-1/п/в
554,"21,1",,,"4,1",,,,,5,Ст-1/л/в
555,"21,1",,,"4,0",,,,,5,Ст-1/п/в
926,"22,9","10,2",,"4,1","1,6",,,,9,1К-Е-4/в
1123,"22,9","10,3",,"4,1","1,5",,,,11,1К-Е-4/в
558,"18,7",,,"4,1","2,2",,,,5,Кф-3/п/в
559,"17,8",,,"4,5",,,,,5,Км/л/в
560,"19,2",,,"4,2","2,2",,,,5,Кф-3/л/в
2512,"25,6","9,6",,"4,2","3,0",,,,25,1К-Е-5/в
562,"20,2",,,"5,5",,,,,5,Ст-мгн-2/в
563,"21,2",,,"4,1",,,,,5,Ст-1/п/в
564,"21,3",,,"4,1",,,,,5,Ст-1/л/в
565,"21,1",,,"4,1",,,,,5,Ст-1/п/в
566,"21,1",,,"4,1",,,,,5,Ст-1/л/в
567,"21,0",,,"4,1",,,,,5,Ст-1/п/в
568,"20,9",,,"4,1",,,,,5,Ст-1/л/в
569,"14,6","17,8",,"4,6",,,,,5,1К-1/л/в
2712,"25,4","9,7",,"4,2","3,1",,,,27,1К-Е-5/в
2812,"25,6","9,7",,"4,3","3,1",,,,28,1К-Е-5/в
572,"22,8",,,"3,6",,,,,5,Ст-4/в
573,"19,2",,,"4,3",,,,,5,Ст-5/в
574,"20,5",,,"3,7",,,,,5,Ст-6/в
501,"22,3","11,1","12,8","4,7","3,1",,,,5,2К-1/в
502,"21,0","9,4",,"4,5",,,,,5,1К-Е-1/п/в
503,"20,0","9,3",,"4,5",,,,,5,1К-Е-1/л/в
504,"19,7",,,"3,4",,,,,5,Ст-1/п/в
320,"21,0","11,4",,"5,6",,,,,3,1К-МГН-Е-1/л
506,"22,2",,,"4,4",,,,,5,Ст-1/п/в
507,"20,4",,,"3,7",,,,,5,Ст-1/л/в
508,"20,4",,,"3,7",,,,,5,Ст-1/п/в
620,"21,0","11,5",,"5,2",,,,,6,1К-МГН-Е-1/л/в
510,"22,9","9,7",,"4,1",,,,,5,1К-Е-2/в
511,"21,1",,,"4,2","2,0",,,,5,Кф-1/в
820,"20,9","11,4",,"5,2",,,,,8,1К-МГН-Е-1/л/в
513,"15,2","18,2",,"4,6",,,,,5,1К-1/п/в
319,"20,9","11,4",,"5,6",,,,,3,1К-МГН-Е-1/п
515,"15,1","18,2",,"4,5",,,,,5,1К-1/п/в
516,"21,0","10,3",,"4,1",,,,,5,1К-Е-1/п/в
517,"20,9","10,3",,"4,1",,,,,5,1К-Е-1/л/в
518,"20,8",,,"6,8",,,,,5,Кф-ИГН-1/п/в
519,"21,0","11,5",,"5,3",,,,,5,1К-МГН-Е-1/п/в
520,"21,0","11,5",,"5,2",,,,,5,1К-МГН-Е-1/л/в
521,"21,2",,,"5,1",,,,,5,Кф-2/л/в
522,"23,5","10,3",,"4,1",,,,,5,1К-Е-1/п/в
419,"21,0","11,4",,"5,1",,,,,4,1К-МГН-Е-1/п/в
524,"22,0",,,"4,8",,,,,5,Кф-2/л/в
525,"20,9","10,3",,"4,0",,,,,5,1К-Е-1/п/в
526,"20,9","10,3",,"4,0",,,,,5,1К-Е-1/л/в
527,"15,1","16,7",,"4,1",,,,,5,1К-2/л/в
528,"14,9","18,7",,"4,0",,,,,5,1К-1/п/в
529,"21,2",,,"5,0",,,,,5,Кф-2/л/в
530,"15,0","17,2",,"4,0",,,,,5,1К-2/п/в
531,"17,2","20,7","14,4","4,4",,,,,5,2К-3/в
532,"18,4","20,7",,"3,5",,,,,5,1К-3/в
533,"20,3",,,"3,7",,,,,5,Ст-1/п/в
819,"20,8","11,4",,"5,2",,,,,8,1К-МГН-Е-1/п/в
535,"21,1",,,"4,1",,,,,5,Ст-1/п/в
536,"21,0",,,"4,1",,,,,5,Ст-1/л/в
537,"21,1",,,"4,0",,,,,5,Ст-1/п/в
538,"21,1",,,"4,0",,,,,5,Ст-1/л/в
539,"21,2",,,"4,1",,,,,5,Ст-1/п/в
540,"21,3",,,"4,1",,,,,5,Ст-1/л/в
541,"19,9",,,"5,5",,,,,5,Ст-МГН-1/в
542,"10,1","22,8",,"4,0",,,,,5,1К-4/л/в
543,"19,2",,,"4,2","2,1",,,,5,Кф-3/п/в
544,"17,8",,,"4,5",,,,,5,Км/п/в
545,"18,8",,,"4,2","2,1",,,,5,Кф-3/л/в
309,"21,8","15,2","15,3","6,3",,,,,3,2К-2
547,"20,4",,,"4,0",,,,,5,Ст-1/п/в
648,"21,0",,,"4,1",,,,,6,Ст-1/л/в
649,"21,0",,,"4,1",,,,,6,Ст-1/п/в
509,"21,9","15,3","15,2","5,8",,,,,5,2К-2/в
651,"21,1",,,"4,0",,,,,6,Ст-1/п/в
809,"21,9","15,3","15,2","6,0",,,,,8,2К-2/в
653,"21,1",,,"4,0",,,,,6,Ст-1/п/в
654,"21,0",,,"4,1",,,,,6,Ст-1/л/в
1009,"21,9","15,5","15,3","6,0",,,,,10,2К-2/в
656,"20,5",,,"3,9",,,,,6,Ст-1/л/в
657,"20,6",,,"4,1",,,,,6,Ст-1/п/в
658,"18,6",,,"4,2","2,2",,,,6,Кф-3/п/в
659,"17,8",,,"4,5",,,,,6,Км/л/в
660,"19,3",,,"4,2","2,2",,,,6,Кф-3/л/в
661,"10,1","22,7",,"4,0",,,,,6,1К-4/п/в
662,"20,1",,,"5,5",,,,,6,Ст-мгн-2/в
1309,"22,0","15,3","15,3","6,0",,,,,13,2К-2/в
664,"21,2",,,"4,0",,,,,6,Ст-1/л/в
665,"21,1",,,"4,1",,,,,6,Ст-1/п/в
2209,"22,0","15,3","15,2","6,0",,,,,22,2К-2/в
2409,"22,0","15,3","15,3","6,0",,,,,24,2К-2/в
344,"17,8",,,"4,9",,,,,3,Км/п
669,"14,7","17,8",,"4,6",,,,,6,1К-1/л/в
444,"17,8",,,"4,4",,,,,4,Км/п/в
644,"17,8",,,"4,5",,,,,6,Км/п/в
336,"21,1",,,"4,4",,,,,3,Ст-1/л
673,"19,3",,,"4,4",,,,,6,Ст-5/в
674,"20,6",,,"3,8",,,,,6,Ст-6/в
601,"22,2","11,1","12,8","4,7","3,1",,,,6,2К-1/в
602,"21,0","9,4",,"4,6",,,,,6,1К-Е-1/п/в
603,"20,0","9,2",,"4,5",,,,,6,1К-Е-1/л/в
604,"19,7",,,"3,5",,,,,6,Ст-1/п/в
605,"22,3",,,"4,5",,,,,6,Ст-1/л/в
606,"22,2",,,"4,5",,,,,6,Ст-1/п/в
607,"20,4",,,"3,8",,,,,6,Ст-1/л/в
608,"20,5",,,"3,8",,,,,6,Ст-1/п/в
609,"21,9","15,4","15,3","6,0",,,,,6,2К-2/в
610,"22,9","9,7",,"4,2",,,,,6,1К-Е-2/в
611,"21,1",,,"4,2","2,0",,,,6,Кф-1/в
612,"22,9","9,7",,"4,2",,,,,6,1К-Е-3/в
613,"15,1","18,2",,"4,5",,,,,6,1К-1/п/в
614,"15,0","16,4",,"4,6",,,,,6,1К-2/л/в
615,"15,0","18,2",,"4,6",,,,,6,1К-1/п/в
616,"20,9","10,3",,"4,1",,,,,6,1К-Е-1/п/в
617,"20,9","10,3",,"4,0",,,,,6,1К-Е-1/л/в
618,"20,8",,,"6,8",,,,,6,Кф-ИГН-1/п/в
619,"20,9","11,5",,"5,2",,,,,6,1К-МГН-Е-1/п/в
364,"21,3",,,"4,4",,,,,3,Ст-1/л
621,"21,4",,,"5,0",,,,,6,Кф-2/л/в
368,"21,0",,,"4,4",,,,,3,Ст-1/л
623,"23,3","10,3",,"4,1",,,,,6,1К-Е-1/л/в
624,"22,0",,,"4,7",,,,,6,Кф-2/л/в
625,"20,9","10,3",,"4,1",,,,,6,1К-Е-1/п/в
626,"20,9","10,3",,"4,0",,,,,6,1К-Е-1/л/в
627,"15,1","16,6",,"4,1",,,,,6,1К-2/л/в
628,"14,9","18,7",,"4,0",,,,,6,1К-1/п/в
629,"21,2",,,"5,1",,,,,6,Кф-2/л/в
630,"14,9","17,2",,"4,0",,,,,6,1К-2/п/в
631,"17,0","20,8","14,5","4,5",,,,,6,2К-3/в
505,"22,2",,,"4,4",,,,,5,Ст-1/л/в
633,"20,3",,,"3,6",,,,,6,Ст-1/п/в
634,"21,1",,,"4,0",,,,,6,Ст-1/л/в
635,"21,1",,,"4,0",,,,,6,Ст-1/п/в
636,"21,0",,,"4,0",,,,,6,Ст-1/л/в
637,"21,0",,,"4,0",,,,,6,Ст-1/п/в
638,"21,2",,,"4,0",,,,,6,Ст-1/л/в
639,"21,2",,,"4,0",,,,,6,Ст-1/п/в
640,"21,3",,,"4,1",,,,,6,Ст-1/л/в
641,"19,9",,,"5,5",,,,,6,Ст-МГН-1/в
642,"10,1","22,8",,"4,0",,,,,6,1К-4/л/в
643,"19,3",,,"4,2","2,1",,,,6,Кф-3/п/в
534,"21,1",,,"4,0",,,,,5,Ст-1/л/в
645,"18,8",,,"4,2","2,1",,,,6,Кф-3/л/в
646,"20,7",,,"4,0",,,,,6,Ст-1/л/в
647,"20,5",,,"4,0",,,,,6,Ст-1/п/в
748,"20,8",,,"4,1",,,,,7,Ст-1/л/в
749,"20,9",,,"4,1",,,,,7,Ст-1/п/в
750,"20,9",,,"4,0",,,,,7,Ст-1/л/в
751,"21,0",,,"4,1",,,,,7,Ст-1/п/в
752,"20,9",,,"4,1",,,,,7,Ст-1/л/в
753,"21,0",,,"4,1",,,,,7,Ст-1/п/в
754,"20,8",,,"4,1",,,,,7,Ст-1/л/в
755,"20,9",,,"4,1",,,,,7,Ст-1/п/в
756,"20,3",,,"4,0",,,,,7,Ст-1/л/в
757,"20,5",,,"4,1",,,,,7,Ст-1/п/в
758,"18,5",,,"4,2","2,1",,,,7,Кф-3/п/в
759,"17,6",,,"4,6",,,,,7,Км/л/в
760,"19,0",,,"4,2","2,1",,,,7,Кф-3/л/в
761,"10,0","22,6",,"4,0",,,,,7,1К-4/п/в
762,"19,9",,,"5,6",,,,,7,Ст-мгн-2/в
763,"21,3",,,"4,1",,,,,7,Ст-1/п/в
764,"21,2",,,"4,0",,,,,7,Ст-1/л/в
765,"21,0",,,"4,1",,,,,7,Ст-1/п/в
766,"21,0",,,"4,1",,,,,7,Ст-1/л/в
767,"21,0",,,"4,1",,,,,7,Ст-1/п/в
768,"20,9",,,"4,1",,,,,7,Ст-1/л/в
769,"14,7","17,8",,"4,6",,,,,7,1К-1/л/в
770,"25,5",,,"4,5",,,,,7,Ст-2/в
771,"25,1",,,"4,5",,,,,7,Ст-3/в
772,"22,9",,,"3,7",,,,,7,Ст-4/в
773,"19,3",,,"4,4",,,,,7,Ст-5/в
774,"20,7",,,"3,8",,,,,7,Ст-6/в
701,"22,0","11,1","12,9","4,8","3,1",,,,7,2К-1/в
702,"21,0","9,5",,"4,6",,,,,7,1К-Е-1/п/в
703,"20,2","9,3",,"4,6",,,,,7,1К-Е-1/л/в
704,"19,6",,,"3,5",,,,,7,Ст-1/п/в
705,"22,3",,,"4,6",,,,,7,Ст-1/л/в
706,"22,3",,,"4,5",,,,,7,Ст-1/п/в
707,"20,4",,,"3,8",,,,,7,Ст-1/л/в
708,"20,5",,,"3,8",,,,,7,Ст-1/п/в
709,"21,9","15,3","15,3","6,0",,,,,7,2К-2/в
710,"22,9","9,7",,"4,3",,,,,7,1К-Е-2/в
711,"21,0",,,"4,3","2,0",,,,7,Кф-1/в
546,"20,7",,,"4,1",,,,,5,Ст-1/л/в
713,"15,0","18,2",,"4,6",,,,,7,1К-1/п/в
714,"15,0","16,3",,"4,6",,,,,7,1К-2/л/в
715,"15,1","18,2",,"4,6",,,,,7,1К-1/п/в
716,"20,9","10,3",,"4,1",,,,,7,1К-Е-1/п/в
717,"20,8","10,3",,"4,1",,,,,7,1К-Е-1/л/в
718,"20,7",,,"6,8",,,,,7,Кф-ИГН-1/п/в
719,"20,9","11,5",,"5,2",,,,,7,1К-МГН-Е-1/п/в
720,"20,9","11,5",,"5,2",,,,,7,1К-МГН-Е-1/л/в
721,"21,2",,,"5,1",,,,,7,Кф-2/л/в
722,"23,2","10,3",,"4,0",,,,,7,1К-Е-1/п/в
556,"20,4",,,"4,0",,,,,5,Ст-1/л/в
724,"22,0",,,"4,7",,,,,7,Кф-2/л/в
725,"20,7","10,3",,"4,1",,,,,7,1К-Е-1/п/в
726,"20,8","10,3",,"4,1",,,,,7,1К-Е-1/л/в
727,"15,0","16,6",,"4,1",,,,,7,1К-2/л/в
728,"14,8","18,7",,"4,1",,,,,7,1К-1/п/в
729,"21,2",,,"5,1",,,,,7,Кф-2/л/в
730,"14,7","17,2",,"4,1",,,,,7,1К-2/п/в
731,"16,9","20,7","14,4","4,5",,,,,7,2К-3/в
732,"18,1","20,7",,"3,6",,,,,7,1К-3/в
733,"20,2",,,"3,7",,,,,7,Ст-1/п/в
734,"20,9",,,"4,1",,,,,7,Ст-1/л/в
735,"20,9",,,"4,1",,,,,7,Ст-1/п/в
736,"20,9",,,"4,1",,,,,7,Ст-1/л/в
737,"20,9",,,"4,1",,,,,7,Ст-1/п/в
738,"20,9",,,"4,1",,,,,7,Ст-1/л/в
739,"21,1",,,"4,1",,,,,7,Ст-1/п/в
740,"21,3",,,"4,1",,,,,7,Ст-1/л/в
741,"19,6",,,"5,5",,,,,7,Ст-МГН-1/в
742,"10,0","22,6",,"4,0",,,,,7,1К-4/л/в
743,"18,9",,,"4,2","2,1",,,,7,Кф-3/п/в
744,"17,6",,,"4,6",,,,,7,Км/п/в
745,"18,7",,,"4,2","2,1",,,,7,Кф-3/л/в
746,"20,5",,,"4,1",,,,,7,Ст-1/л/в
747,"20,3",,,"4,0",,,,,7,Ст-1/п/в
835,"21,0",,,"4,0",,,,,8,Ст-1/л/в
836,"21,0",,,"4,0",,,,,8,Ст-1/п/в
837,"21,0",,,"4,1",,,,,8,Ст-1/л/в
838,"21,0",,,"4,1",,,,,8,Ст-1/п/в
839,"21,0",,,"4,1",,,,,8,Ст-1/л/в
840,"20,9",,,"4,0",,,,,8,Ст-1/п/в
841,"20,9",,,"4,0",,,,,8,Ст-1/л/в
650,"21,1",,,"4,0",,,,,6,Ст-1/л/в
843,"20,2",,,"4,0",,,,,8,Ст-1/л/в
844,"20,5",,,"4,1",,,,,8,Ст-1/п/в
845,"18,6",,,"4,2","2,1",,,,8,Кф-3/п/в
846,"17,6",,,"4,5",,,,,8,Км/л/в
847,"18,9",,,"4,2","2,1",,,,8,Кф-3/л/в
848,"10,0","22,7",,"4,0",,,,,8,1К-4/п/в
849,"20,0",,,"5,6",,,,,8,Ст-МГН-2/в
850,"21,3",,,"4,0",,,,,8,Ст-1/п/в
851,"21,0",,,"4,1",,,,,8,Ст-1/л/в
852,"20,8",,,"4,1",,,,,8,Ст-1/п/в
853,"21,1",,,"4,1",,,,,8,Ст-1/л/в
854,"21,0",,,"4,1",,,,,8,Ст-1/п/в
855,"20,8",,,"4,1",,,,,8,Ст-1/л/в
856,"14,7","17,8",,"4,5",,,,,8,1К-1/л/в
857,"25,5",,,"4,5",,,,,8,Ст-2/в
858,"25,1",,,"4,5",,,,,8,Ст-3/в
859,"22,9",,,"3,7",,,,,8,Ст-4/в
860,"19,3",,,"4,4",,,,,8,Ст-5/в
861,"20,6",,,"3,8",,,,,8,Ст-6/в
801,"22,2","11,1","12,8","4,8","3,1",,,,8,2К-1/в
802,"21,1","9,4",,"4,6",,,,,8,1К-Е-1/п/в
803,"20,1","9,2",,"4,6",,,,,8,1К-Е-1/л/в
804,"19,7",,,"3,5",,,,,8,Ст-1/п/в
805,"22,2",,,"4,5",,,,,8,Ст-1/л/в
652,"21,1",,,"4,0",,,,,6,Ст-1/л/в
807,"20,5",,,"3,8",,,,,8,Ст-1/л/в
808,"20,5",,,"3,8",,,,,8,Ст-1/п/в
666,"21,1",,,"4,1",,,,,6,Ст-1/л/в
810,"22,9","9,7",,"4,2",,,,,8,1К-Е-2/в
811,"21,1",,,"4,3","2,0",,,,8,Кф-1/в
668,"20,9",,,"4,0",,,,,6,Ст-1/л/в
813,"15,0","18,2",,"4,6",,,,,8,1К-1/п/в
814,"14,9","16,3",,"4,5",,,,,8,1К-2/л/в
815,"14,9","18,2",,"4,5",,,,,8,1К-1/п/в
816,"20,8","10,2",,"4,1",,,,,8,1К-Е-1/п/в
817,"20,7","10,3",,"4,1",,,,,8,1К-Е-1/л/в
818,"20,7",,,"6,8",,,,,8,Кф-МГН-1/п/в
1005,"22,4",,,"4,6",,,,,10,Ст-1/л/в
1424,"21,3",,,"4,1",,,,,14,Ст-1/л/в
821,"21,3",,,"5,1",,,,,8,Кф-2/л/в
822,"23,1","10,3",,"4,0",,,,,8,1К-Е-1/п/в
823,"23,2","10,3",,"4,1",,,,,8,1К-Е-1/л/в
824,"22,0",,,"4,8",,,,,8,Кф-2/л/в
825,"20,7","10,3",,"4,0",,,,,8,1К-Е-1/п/в
826,"22,8","10,3",,"4,1","1,6",,,,8,1К-Е-4/в
827,"21,1",,,"4,0",,,,,8,Ст-1/л/в
828,"19,6",,,"5,5",,,,,8,Ст-МГН-1/в
829,"10,0","22,7",,"4,0",,,,,8,1К-4/л/в
830,"19,2",,,"4,2","2,1",,,,8,Кф-3/п/в
831,"17,7",,,"4,6",,,,,8,Км/п/в
